alpha,p1,p2,mse,l0,experiment
0.0,1.7934706e-08,6.589865e-08,0.43303415,56.0,Related (France-England Capitals)
0.05,1.7952557e-08,6.884151e-08,0.43171713,57.0,Related (France-England Capitals)
0.1,1.797694e-08,7.1939105e-08,0.4307016,57.0,Related (France-England Capitals)
0.15000000000000002,1.8007865e-08,7.520026e-08,0.42994258,58.0,Related (France-England Capitals)
0.2,1.8045249e-08,7.863387e-08,0.42951214,58.0,Related (France-England Capitals)
0.25,1.808921e-08,8.22498e-08,0.4290656,60.0,Related (France-England Capitals)
0.30000000000000004,1.813991e-08,8.6059124e-08,0.42856035,60.0,Related (France-England Capitals)
0.35000000000000003,1.8197166e-08,9.00719e-08,0.42802334,61.0,Related (France-England Capitals)
0.4,1.8261186e-08,9.4299835e-08,0.42754698,60.0,Related (France-England Capitals)
0.45,1.8331958e-08,9.875585e-08,0.42735055,60.0,Related (France-England Capitals)
0.5,1.8409608e-08,1.0345253e-07,0.42746615,60.0,Related (France-England Capitals)
0.55,1.849416e-08,1.0840409e-07,0.42780086,60.0,Related (France-England Capitals)
0.6000000000000001,1.8585663e-08,1.1362429e-07,0.42774427,59.0,Related (France-England Capitals)
0.65,1.868429e-08,1.1912934e-07,0.4278089,60.0,Related (France-England Capitals)
0.7000000000000001,1.8789997e-08,1.2493491e-07,0.42764047,59.0,Related (France-England Capitals)
0.75,1.8903021e-08,1.3105965e-07,0.42770842,59.0,Related (France-England Capitals)
0.8,1.9023231e-08,1.3751959e-07,0.42810354,59.0,Related (France-England Capitals)
0.8500000000000001,1.9150992e-08,1.4433645e-07,0.4287832,60.0,Related (France-England Capitals)
0.9,1.9286249e-08,1.515295e-07,0.42951155,59.0,Related (France-England Capitals)
0.9500000000000001,1.9429159e-08,1.5912056e-07,0.43056402,59.0,Related (France-England Capitals)
1.0,1.9579735e-08,1.6713236e-07,0.43195716,59.0,Related (France-England Capitals)
0.0,1.7934706e-08,8.515118e-10,0.43303415,56.0,Incongruent (France Capital - Cat Food)
0.05,1.5434342e-08,9.119493e-10,0.44930074,51.0,Incongruent (France Capital - Cat Food)
0.1,1.33150015e-08,9.832065e-10,0.46906576,45.0,Incongruent (France Capital - Cat Food)
0.15000000000000002,1.1516108e-08,1.066893e-09,0.48943686,42.0,Incongruent (France Capital - Cat Food)
0.2,9.985703e-09,1.1647662e-09,0.50738853,36.0,Incongruent (France Capital - Cat Food)
0.25,8.6797485e-09,1.2787279e-09,0.5263765,37.0,Incongruent (France Capital - Cat Food)
0.30000000000000004,7.561097e-09,1.4107375e-09,0.53363526,35.0,Incongruent (France Capital - Cat Food)
0.35000000000000003,6.598802e-09,1.5628093e-09,0.53519684,34.0,Incongruent (France Capital - Cat Food)
0.4,5.76716e-09,1.7368781e-09,0.53423196,30.0,Incongruent (France Capital - Cat Food)
0.45,5.0448907e-09,1.9346595e-09,0.5308368,29.0,Incongruent (France Capital - Cat Food)
0.5,4.4146327e-09,2.1575444e-09,0.5144556,26.0,Incongruent (France Capital - Cat Food)
0.55,3.862189e-09,2.4063485e-09,0.4950436,29.0,Incongruent (France Capital - Cat Food)
0.6000000000000001,3.3760783e-09,2.6812272e-09,0.46777198,30.0,Incongruent (France Capital - Cat Food)
0.65,2.9470557e-09,2.9814367e-09,0.4452258,30.0,Incongruent (France Capital - Cat Food)
0.7000000000000001,2.5677598e-09,3.3053362e-09,0.42266646,31.0,Incongruent (France Capital - Cat Food)
0.75,2.2322209e-09,3.6502976e-09,0.40441462,30.0,Incongruent (France Capital - Cat Food)
0.8,1.9356714e-09,4.0129122e-09,0.39093962,34.0,Incongruent (France Capital - Cat Food)
0.8500000000000001,1.6741669e-09,4.3891903e-09,0.3817511,38.0,Incongruent (France Capital - Cat Food)
0.9,1.4443673e-09,4.774927e-09,0.3800856,43.0,Incongruent (France Capital - Cat Food)
0.9500000000000001,1.2433473e-09,5.1661186e-09,0.38454595,48.0,Incongruent (France Capital - Cat Food)
1.0,1.0684315e-09,5.5594693e-09,0.39598227,50.0,Incongruent (France Capital - Cat Food)
0.0,1.9122365e-06,3.138744e-08,0.25986904,53.0,Opposite (Truth-Falsehood)
0.05,1.8793223e-06,3.1459344e-08,0.2571461,53.0,Opposite (Truth-Falsehood)
0.1,1.8472716e-06,3.1538946e-08,0.2546461,53.0,Opposite (Truth-Falsehood)
0.15000000000000002,1.816063e-06,3.1626154e-08,0.2522364,52.0,Opposite (Truth-Falsehood)
0.2,1.7856842e-06,3.1721104e-08,0.24986927,52.0,Opposite (Truth-Falsehood)
0.25,1.7561068e-06,3.1824012e-08,0.24774234,52.0,Opposite (Truth-Falsehood)
0.30000000000000004,1.7273021e-06,3.193477e-08,0.24585573,52.0,Opposite (Truth-Falsehood)
0.35000000000000003,1.6992672e-06,3.205366e-08,0.24407275,53.0,Opposite (Truth-Falsehood)
0.4,1.6719603e-06,3.2180363e-08,0.24238355,53.0,Opposite (Truth-Falsehood)
0.45,1.6453757e-06,3.2315324e-08,0.2409395,53.0,Opposite (Truth-Falsehood)
0.5,1.6194925e-06,3.245845e-08,0.23974071,53.0,Opposite (Truth-Falsehood)
0.55,1.5942902e-06,3.2609922e-08,0.23877181,52.0,Opposite (Truth-Falsehood)
0.6000000000000001,1.5697493e-06,3.276978e-08,0.23803657,52.0,Opposite (Truth-Falsehood)
0.65,1.5458536e-06,3.293791e-08,0.2375481,52.0,Opposite (Truth-Falsehood)
0.7000000000000001,1.5225795e-06,3.3114727e-08,0.23729943,51.0,Opposite (Truth-Falsehood)
0.75,1.4999209e-06,3.330015e-08,0.23729314,51.0,Opposite (Truth-Falsehood)
0.8,1.4778551e-06,3.3494388e-08,0.23753542,51.0,Opposite (Truth-Falsehood)
0.8500000000000001,1.456367e-06,3.369735e-08,0.23802614,51.0,Opposite (Truth-Falsehood)
0.9,1.4354489e-06,3.3909533e-08,0.2387653,51.0,Opposite (Truth-Falsehood)
0.9500000000000001,1.4150684e-06,3.4130398e-08,0.23973452,53.0,Opposite (Truth-Falsehood)
1.0,1.3952285e-06,3.436072e-08,0.24078071,54.0,Opposite (Truth-Falsehood)
