alpha,entropy,metric,mse,l0,experiment
0.0,1.5243641138076782,0.008153688395395873,0.43303415,56.0,Related
0.025,1.521128535270691,0.006382839637808501,0.43298253,56.0,Related
0.05,1.5179307460784912,0.007202295819297431,0.43296942,56.0,Related
0.07500000000000001,1.5147615671157837,0.00656599731883034,0.43299416,57.0,Related
0.1,1.5116227865219116,0.007148888835217802,0.43293163,56.0,Related
0.125,1.5085235834121704,0.007353820546995847,0.43286526,56.0,Related
0.15000000000000002,1.505449652671814,0.00547271774848923,0.43283722,56.0,Related
0.17500000000000002,1.5024099349975586,0.007525710680056362,0.43284774,56.0,Related
0.2,1.4994028806686401,0.006617004692088812,0.4328526,55.0,Related
0.225,1.4964300394058228,0.006527075311169027,0.4327693,55.0,Related
0.25,1.493482232093811,0.008352303120773284,0.4327248,55.0,Related
0.275,1.490572214126587,0.004699379496742039,0.43271974,55.0,Related
0.30000000000000004,1.4876939058303833,0.007400623871944843,0.4327537,55.0,Related
0.325,1.4848421812057495,0.007295045361388473,0.43282655,55.0,Related
0.35000000000000003,1.482025146484375,0.005932030035182833,0.43293858,55.0,Related
0.375,1.4792386293411255,0.005696447624359279,0.4330896,55.0,Related
0.4,1.4764829874038696,0.007245880260597913,0.43327963,55.0,Related
0.42500000000000004,1.4737575054168701,0.005925423465669154,0.43350884,55.0,Related
0.45,1.4710681438446045,0.005914786015637218,0.433777,55.0,Related
0.47500000000000003,1.4684044122695923,0.005962816067039966,0.43408433,55.0,Related
0.5,1.465767502784729,0.006919734005350618,0.43443075,55.0,Related
0.525,1.463165044784546,0.00644202809780836,0.43476734,54.0,Related
0.55,1.4605971574783325,0.005626998608931898,0.43512774,53.0,Related
0.5750000000000001,1.4580533504486084,0.006630983261857181,0.43546653,52.0,Related
0.6000000000000001,1.455543875694275,0.005638743459712713,0.43578625,52.0,Related
0.625,1.4530619382858276,0.005862404941581189,0.436146,52.0,Related
0.65,1.450608491897583,0.005566714389715343,0.43641242,50.0,Related
0.675,1.448188304901123,0.004962782259099185,0.43648735,50.0,Related
0.7000000000000001,1.4457943439483643,0.005894561763852834,0.43660292,50.0,Related
0.7250000000000001,1.4434314966201782,0.0046641973312944165,0.4367241,49.0,Related
0.75,1.4410978555679321,0.007113227911759166,0.43683323,48.0,Related
0.775,1.4387924671173096,0.0045275577576830974,0.436936,48.0,Related
0.8,1.4365155696868896,0.006246725388336926,0.43706438,49.0,Related
0.8250000000000001,1.434271216392517,0.005153643724042921,0.4372331,49.0,Related
0.8500000000000001,1.4320507049560547,0.004973230534233152,0.43744478,49.0,Related
0.875,1.4298609495162964,0.0054816322517581275,0.43769917,49.0,Related
0.9,1.427700400352478,0.005987675103824585,0.43799648,49.0,Related
0.925,1.4255688190460205,0.0058242265367880455,0.4383366,49.0,Related
0.9500000000000001,1.4234628677368164,0.004548988363239913,0.43871942,49.0,Related
0.9750000000000001,1.4213852882385254,0.004962591629009693,0.4391452,49.0,Related
1.0,1.4193391799926758,,0.4396138,49.0,Related
0.0,1.5243641138076782,0.8101075887680053,0.43303415,56.0,Incongruent
0.025,1.541632890701294,0.8394939824938773,0.4415569,55.0,Incongruent
0.05,1.5613118410110474,0.8706201799213884,0.45123684,50.0,Incongruent
0.07500000000000001,1.583331823348999,0.9037325158715246,0.46360257,47.0,Incongruent
0.1,1.6076233386993408,0.9457409381866453,0.47426558,47.0,Incongruent
0.125,1.6341185569763184,0.9899166412651537,0.48671246,44.0,Incongruent
0.15000000000000002,1.6627521514892578,1.0422370396554468,0.5013874,43.0,Incongruent
0.17500000000000002,1.6934539079666138,1.0971092619001863,0.5141192,38.0,Incongruent
0.2,1.7261492013931274,1.156368851661682,0.5266039,38.0,Incongruent
0.225,1.7607648372650146,1.2220310047268865,0.53901523,39.0,Incongruent
0.25,1.7972331047058105,1.2948187999427316,0.54910433,37.0,Incongruent
0.275,1.8354649543762207,1.3718780130147932,0.5578898,35.0,Incongruent
0.30000000000000004,1.8753718137741089,1.457384508103132,0.5628099,34.0,Incongruent
0.325,1.9168572425842285,1.5459660440683363,0.56735635,34.0,Incongruent
0.35000000000000003,1.9598181247711182,1.6442425549030302,0.5721039,33.0,Incongruent
0.375,2.0041255950927734,1.7472574487328525,0.5746873,31.0,Incongruent
0.4,2.0496439933776855,1.8602980300784107,0.5723349,29.0,Incongruent
0.42500000000000004,2.0962061882019043,1.979110017418861,0.56910205,31.0,Incongruent
0.45,2.143624782562256,2.105556800961494,0.56115246,31.0,Incongruent
0.47500000000000003,2.1916675567626953,2.2408379241824146,0.5496305,30.0,Incongruent
0.5,2.240082263946533,2.383007295429706,0.5353158,31.0,Incongruent
0.525,2.2885582447052,2.532013319432735,0.5220037,31.0,Incongruent
0.55,2.336740493774414,2.6791334152221675,0.5099067,30.0,Incongruent
0.5750000000000001,2.3842320442199707,2.8389176353812213,0.49887112,31.0,Incongruent
0.6000000000000001,2.430565118789673,3.006285987794399,0.48719427,32.0,Incongruent
0.625,2.4752233028411865,3.1640723347663875,0.47689143,31.0,Incongruent
0.65,2.5176591873168945,3.322234004735946,0.46750864,31.0,Incongruent
0.675,2.557278633117676,3.4723695367574683,0.4601936,31.0,Incongruent
0.7000000000000001,2.5934641361236572,3.620237484574317,0.45236138,33.0,Incongruent
0.7250000000000001,2.6255810260772705,3.740963712334632,0.44458556,34.0,Incongruent
0.75,2.6530423164367676,3.850596398115157,0.4382979,35.0,Incongruent
0.775,2.6752727031707764,3.9360642433166495,0.43347934,38.0,Incongruent
0.8,2.6917810440063477,3.9999693632125846,0.4289478,40.0,Incongruent
0.8250000000000001,2.7021565437316895,4.0347836911678305,0.42445028,41.0,Incongruent
0.8500000000000001,2.7061145305633545,4.03960533440113,0.42114878,42.0,Incongruent
0.875,2.703505516052246,4.016406461596488,0.4200902,45.0,Incongruent
0.9,2.69431734085083,3.9570394903421393,0.42088926,47.0,Incongruent
0.925,2.678699493408203,3.8752280175685874,0.4252788,47.0,Incongruent
0.9500000000000001,2.656928300857544,3.76649722456932,0.42951187,54.0,Incongruent
0.9750000000000001,2.629415988922119,3.637286648154258,0.4358547,57.0,Incongruent
1.0,2.5966858863830566,,0.44519725,60.0,Incongruent
